race_id	0	1	2	3
202301010511	ワイド	6 - 14 6 - 7 7 - 14	400 730 1,660	3 7 22
202301010511	馬単	6 → 14	1300	3
202301010511	三連複	6 - 7 - 14	4330	14
202301010511	三連単	6 → 14 → 7	13550	36
202301010512	単勝	1	5800	11
202301010512	複勝	1 5 10	1,370 230 520	11 3 8
202301010512	枠連	1 - 4	15550	29
202301010512	馬連	1 - 5	18280	45
202301010512	ワイド	1 - 5 1 - 10 5 - 10	5,780 12,520 1,580	49 65 20
202301010512	馬単	1 → 5	49240	98
202301010512	三連複	1 - 5 - 10	79000	157
202301010512	三連単	1 → 5 → 10	763700	1134
202301010601	単勝	5	510	2
202301010601	複勝	5 13 14	200 150 970	3 1 11
202301010601	枠連	4 - 8	530	1
202301010601	馬連	5 - 13	1040	1
202301010601	ワイド	5 - 13 5 - 14 13 - 14	510 3,930 3,070	1 42 34
202301010601	馬単	5 → 13	2050	1
202301010601	三連複	5 - 13 - 14	14530	51
202301010601	三連単	5 → 13 → 14	52040	214
202301010602	単勝	13	580	2
202301010602	複勝	13 9 6	220 310 240	2 7 4
202301010602	枠連	6 - 8	1390	7
202301010602	馬連	9 - 13	2250	10
202301010602	ワイド	9 - 13 6 - 13 6 - 9	720 630 830	8 6 11
202301010602	馬単	13 → 9	4550	18
202301010602	三連複	6 - 9 - 13	4380	17
202301010602	三連単	13 → 9 → 6	24140	86
202301010603	単勝	4	430	1
202301010603	複勝	4 8 9	180 230 640	1 4 10
202301010603	枠連	3 - 5	950	3
202301010603	馬連	4 - 8	1240	1
202301010603	ワイド	4 - 8 4 - 9 8 - 9	590 1,640 2,120	4 22 30
202301010603	馬単	4 → 8	2410	3
202301010603	三連複	4 - 8 - 9	8040	25
202301010603	三連単	4 → 8 → 9	32410	89
202301010604	単勝	14	670	3
202301010604	複勝	14 3 13	380 290 410	5 3 6
202301010604	枠連	3 - 8	1850	8
202301010604	馬連	3 - 14	4350	14
202301010604	ワイド	3 - 14 13 - 14 3 - 13	1,490 2,250 1,510	17 25 18
202301010604	馬単	14 → 3	8840	24
202301010604	三連複	3 - 13 - 14	18780	49
202301010604	三連単	14 → 3 → 13	89300	243
202301010605	単勝	4	140	1
202301010605	複勝	4 7	110 140	1 2
202301010605	馬連	4 - 7	230	1
202301010605	ワイド	4 - 7 2 - 4 2 - 7	130 150 240	1 2 4
202301010605	馬単	4 → 7	330	1
202301010605	三連複	2 - 4 - 7	340	1
202301010605	三連単	4 → 7 → 2	850	1
202301010606	単勝	12	460	3
202301010606	複勝	12 10 5	190 230 990	3 4 9
202301010606	枠連	6 - 7	2170	13
202301010606	馬連	10 - 12	2050	9
202301010606	ワイド	10 - 12 5 - 12 5 - 10	600 2,730 2,940	5 27 29
202301010606	馬単	12 → 10	3730	15
202301010606	三連複	5 - 10 - 12	18780	58
202301010606	三連単	12 → 10 → 5	83500	240
202301010607	単勝	6	3720	11
202301010607	複勝	6 5 12	830 570 630	11 7 9
202301010607	枠連	5 - 5	24080	31
202301010607	馬連	5 - 6	30660	52
202301010607	ワイド	5 - 6 6 - 12 5 - 12	6,410 6,020 8,150	53 50 55
202301010607	馬単	6 → 5	67730	107
202301010607	三連複	5 - 6 - 12	206620	175
202301010607	三連単	6 → 5 → 12	1480590	1066
202301010608	単勝	10	400	2
202301010608	複勝	10 8 11	180 380 300	3 6 4
202301010608	枠連	5 - 6	610	3
202301010608	馬連	8 - 10	3540	14
202301010608	ワイド	8 - 10 10 - 11 8 - 11	1,070 520 2,650	14 4 24
202301010608	馬単	10 → 8	5630	22
202301010608	三連複	8 - 10 - 11	8360	25
202301010608	三連単	10 → 8 → 11	38250	126
202301010609	単勝	1	370	2
202301010609	複勝	1 3 7	140 280 120	2 6 1
202301010609	枠連	1 - 3	1970	8
202301010609	馬連	1 - 3	1930	8
202301010609	ワイド	1 - 3 1 - 7 3 - 7	670 230 640	9 1 8
202301010609	馬単	1 → 3	2900	12
202301010609	三連複	1 - 3 - 7	1750	4
202301010609	三連単	1 → 3 → 7	10060	30
202301010610	単勝	8	820	6
202301010610	複勝	8 2 4	270 440 210	6 7 3
202301010610	枠連	2 - 7	4530	15
202301010610	馬連	2 - 8	5850	22
202301010610	ワイド	2 - 8 4 - 8 2 - 4	1,610 930 1,640	22 15 23
202301010610	馬単	8 → 2	11590	44
202301010610	三連複	2 - 4 - 8	11730	46
202301010610	三連単	8 → 2 → 4	81590	282
202301010611	単勝	6	1230	6
202301010611	複勝	6 4 8	340 320 540	6 5 8
202301010611	枠連	3 - 4	490	2
202301010611	馬連	4 - 6	3910	15
202301010611	ワイド	4 - 6 6 - 8 4 - 8	1,510 2,700 2,570	16 34 31
202301010611	馬単	6 → 4	9120	35
202301010611	三連複	4 - 6 - 8	30680	94
202301010611	三連単	6 → 4 → 8	200220	572
202301010612	単勝	2	1730	6
202301010612	複勝	2 14 9	440 140 410	8 1 7
202301010612	枠連	1 - 7	790	3
202301010612	馬連	2 - 14	1990	5
202301010612	ワイド	2 - 14 2 - 9 9 - 14	870 3,080 800	6 38 5
202301010612	馬単	2 → 14	5160	15
202301010612	三連複	2 - 9 - 14	9080	28
202301010612	三連単	2 → 14 → 9	64310	183
202301020101	単勝	4	1290	6
202301020101	複勝	4 8 1	210 130 120	5 2 1
202301020101	枠連	4 - 8	1780	10
202301020101	馬連	4 - 8	1640	9
